SKU,Ranking (Popularity),Name,Platform,Year,Genre,Publisher,Price
58706,63,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,78.85
1794,64,Mario Kart 64,N64,1996,Racing,Nintendo,78.22
49204,65,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,84.66
20292,66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,21.44
21235,67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,45.66
75711,68,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,59.11
27519,69,Just Dance 2,Wii,2010,Misc,Ubisoft,75.82
1547,70,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,70.73
7157,71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,60.5
23232,72,Donkey Kong Country,SNES,1994,Platform,Nintendo,23.9
13685,73,Minecraft,X360,2013,Misc,Microsoft Game Studios,81.74
10400,74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,85.82
24299,75,Mario Party DS,DS,2007,Misc,Nintendo,57.22
66523,76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,79.56
7882,77,Super Mario Kart,SNES,1992,Racing,Nintendo,83.91
69071,78,FIFA 16,PS4,2015,Sports,Electronic Arts,20.01
31161,79,Wii Party,Wii,2010,Misc,Nintendo,90.77
49440,80,Halo 2,XB,2004,Shooter,Microsoft Game Studios,80.81
69001,81,Mario Party 8,Wii,2007,Misc,Nintendo,69.55
33505,82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,57.29
84723,83,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,54.81
8917,84,The Sims 3,PC,2009,Simulation,Electronic Arts,48.39
69040,85,GoldenEye 007,N64,1997,Shooter,Nintendo,40.59
35919,86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,97.6
4473,87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,27.73
23570,88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,61.48
16597,89,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,48.97
21918,90,Pac-Man,2600,1982,Puzzle,Atari,31.19
59525,91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,39.45
48573,92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,57.94
48761,93,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,97.91
66220,94,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,96.77
2723,95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,65.38
39036,96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,43.55
46415,97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,76.09
76317,98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,93.78
63192,99,Call of Duty: World at War,X360,2008,Shooter,Activision,86.44
28106,100,Battlefield 3,X360,2011,Shooter,Electronic Arts,93.04
48337,101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,55.32
81299,102,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,40.22
8878,103,Just Dance,Wii,2009,Misc,Ubisoft,28.02
40598,104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,41.97
25738,105,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,24.37
30929,106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,32.27
51587,107,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,90.73
82146,108,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,99.6
69601,109,Mario Kart 8,WiiU,2014,Racing,Nintendo,36.14
86625,110,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,47.96
73438,111,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,42
86101,112,Just Dance 4,Wii,2012,Misc,Ubisoft,57.75
47993,113,FIFA 14,PS3,2013,Sports,Electronic Arts,26.32
78779,114,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,73.41
80326,115,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,88.41
81614,116,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,22.8
69647,117,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,30.8
68908,118,Zumba Fitness,Wii,2010,Sports,505 Games,70.33
9572,119,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,96.06
51964,120,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,55.07
81632,121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,99.88
89531,122,FIFA 12,PS3,2011,Sports,Electronic Arts,23.07
1776,123,Big Brain Academy,DS,2005,Misc,Nintendo,72.82
72208,124,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,29.35
76366,125,FIFA 15,PS4,2014,Sports,Electronic Arts,27.81
17369,126,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,51.57
47640,127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,93.29
88750,128,The Legend of Zelda,NES,1986,Action,Nintendo,51.32
1897,129,Assassin's Creed III,PS3,2012,Action,Ubisoft,98.23
75261,130,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,93.32
81678,131,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,26.99
67201,132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,83.55
87117,133,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,22.25
76289,134,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,90.61
48467,135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,34.41
33121,136,Super Mario Sunshine,GC,2002,Platform,Nintendo,50.16
80655,137,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,33.99
44630,138,World of Warcraft,PC,2004,Role-Playing,Activision,23.84
12757,139,Driver,PS,1999,Action,GT Interactive,48.96
25813,140,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,61.71
36419,141,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,25.09
2986,142,Gears of War,X360,2006,Shooter,Microsoft Game Studios,78.81
47109,143,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,90.95
19857,144,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,55.32
11135,145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,41.49
66913,146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,70.64
66547,147,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,52.65
75064,148,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,76.83
73953,149,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,37.84
26961,150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,80.83
52368,151,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,93.38
59434,152,Resident Evil 2,PS,1998,Action,Virgin Interactive,71.63
56240,153,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,84.12
17773,154,Cooking Mama,DS,2006,Simulation,505 Games,61.26
6007,155,Destiny,PS4,2014,Shooter,Activision,58.02
71616,156,Tetris,NES,1988,Puzzle,Nintendo,72.97
20450,157,Assassin's Creed II,PS3,2009,Action,Ubisoft,64.45
38659,158,Super Smash Bros.,N64,1999,Fighting,Nintendo,27.79
5142,159,Assassin's Creed,X360,2007,Adventure,Ubisoft,56.16
32668,160,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,45.18
84821,161,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,45.74
789,162,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,80.63
55172,163,Super Mario Advance,GBA,2001,Platform,Nintendo,48.38
32809,164,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,81.93
76930,165,Super Mario World,GBA,2001,Platform,Nintendo,48.68
28546,166,Pokemon Stadium,N64,1999,Strategy,Nintendo,64.76
34701,167,Call of Duty: World at War,PS3,2008,Shooter,Activision,41.08
45273,168,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,69.23
4451,169,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,89.44
28713,170,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,68.33
71619,171,Dr. Mario,GB,1989,Puzzle,Nintendo,96.43
84379,172,Pokemon Pinball,GB,1999,Misc,Nintendo,48.38
40905,173,Assassin's Creed III,X360,2012,Action,Ubisoft,54.78
8662,174,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,27.2
65808,175,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,58.1
34135,176,Donkey Kong 64,N64,1999,Platform,Nintendo,49.82
440,177,Assassin's Creed II,X360,2009,Action,Ubisoft,74.65
86760,178,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,73.46
29983,179,Tomb Raider II,PS,1997,Action,Eidos Interactive,90.15
87901,180,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,54.48
84237,181,Diablo III,PC,2012,Role-Playing,Activision,43.09
88712,182,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,52.83
57001,183,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,33.27
18557,184,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,31.07
18814,185,FIFA Soccer 13,X360,2012,Action,Electronic Arts,70.28
45798,186,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,78.31
12275,187,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,56.37
33835,188,Tomodachi Life,3DS,2013,Simulation,Nintendo,21.71
72785,189,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,21.53
64916,190,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,81.91
21338,191,Kirby's Dream Land,GB,1992,Platform,Nintendo,73.97
12888,192,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,57.49
85879,193,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,74.14
11630,194,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,85.77
32894,195,Guitar Hero II,PS2,2006,Misc,RedOctane,42.01
33897,196,Resident Evil 5,PS3,2009,Action,Capcom,77.98
75741,197,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,55.1
35879,198,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,40.5
87708,199,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,69
43364,200,Super Mario Bros.,GB,1999,Platform,Nintendo,73.95
59639,201,Resident Evil,PS,1996,Action,Virgin Interactive,24.04
37464,202,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,22.52
65087,203,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,78.2
1154,204,Warzone 2100,PS,1999,Strategy,Eidos Interactive,85.28
6200,205,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,36.75
11990,206,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,63.74
47066,207,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,45.64
18913,208,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,75.14
31624,209,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,53.94
69698,210,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,46.89
43332,211,Madden NFL 06,PS2,2005,Sports,Electronic Arts,82.63
29505,212,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,80.77
9299,213,Diddy Kong Racing,N64,1997,Racing,Nintendo,76.72
27891,214,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,89.97
88373,215,Dr. Mario,NES,1990,Puzzle,Nintendo,46.54
14893,216,God of War III,PS3,2010,Action,Sony Computer Entertainment,86.22
67265,217,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,31.49
24121,218,Assassin's Creed,PS3,2007,Adventure,Ubisoft,25.5
59836,219,FIFA 15,PS3,2014,Sports,Electronic Arts,36.47
5334,220,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,60.68
3569,221,FIFA 17,PS4,2016,Sports,Electronic Arts,29.4
81346,222,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,85.02
7019,223,Driver 2,PS,2000,Action,Atari,68.52
26649,224,The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,37.52
58879,225,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,91.34
70781,226,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,53.35
37533,227,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,54.41
63279,228,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,47.06
52531,229,Tomb Raider,PS,1996,Action,Eidos Interactive,62.16
67248,230,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,91.84
6536,231,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,58.66
33975,232,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,82.95
62336,233,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,91.18
47927,234,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,53.28
25856,235,Splatoon,WiiU,2015,Shooter,Nintendo,93.29
73444,236,The Last of Us,PS4,2014,Action,Sony Computer Entertainment,29.78
32503,237,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,70.64
6583,238,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,70.11
79677,239,Pitfall!,2600,1981,Platform,Activision,74.79
23332,240,Madden NFL 07,PS2,2006,Sports,Electronic Arts,24.38
50678,241,Spider-Man: The Movie,PS2,2002,Action,Activision,33.53
67467,242,Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,73.57
24608,243,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,91.37
24595,244,Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,56.82
24512,245,God of War,PS2,2005,Action,Sony Computer Entertainment,33.95
24343,246,Nintendo Land,WiiU,2012,Misc,Nintendo,69.68
78669,247,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,35.18
87993,248,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,72.63
55090,249,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,81.97
2882,250,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,75.28
30269,251,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,82.06
87629,252,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,88.31
9688,253,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,20.65
10903,254,Sonic the Hedgehog,GEN,1991,Platform,Sega,41.69
60493,255,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,20.66
33762,256,FIFA 14,X360,2013,Sports,Electronic Arts,54.75
35479,257,Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,21.42
31253,258,Asteroids,2600,1980,Shooter,Atari,48.97
19376,259,Fable II,X360,2008,Role-Playing,Microsoft Game Studios,66.73
38352,260,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,27.44
67917,261,Super Mario 3D World,WiiU,2013,Platform,Nintendo,71.21
77386,262,Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,33.85
80567,263,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,31.34
77456,264,Namco Museum,GBA,2001,Misc,Namco Bandai Games,78
26171,265,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,37.53
75492,266,Daxter,PSP,2006,Platform,Sony Computer Entertainment,91.74
35043,267,Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,58.77
60039,268,The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,48.72
37476,269,FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,38.51
46309,270,EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,69.19
11174,271,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,90.97
77700,272,Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,80.6
6675,273,Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,26.88
16853,274,Street Fighter IV,PS3,2009,Fighting,Capcom,95.75
43607,275,FIFA 12,X360,2011,Sports,Electronic Arts,84.53
43605,276,Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,72.36
63212,277,Excitebike,NES,1984,Racing,Nintendo,59.18
89260,278,Frogger,PS,1997,Action,Hasbro Interactive,77.8
40849,279,Madden NFL 2003,PS2,2002,Sports,Electronic Arts,38.2
88310,280,Watch Dogs,PS4,2014,Action,Ubisoft,42.28
7854,281,Half-Life,PC,1997,Shooter,Vivendi Games,59.47
31265,282,Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,29.62
45862,283,FIFA Soccer 07,PS2,2006,Sports,Electronic Arts,78.16
557,284,The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,24.27
89620,285,Street Fighter II Turbo,SNES,1992,Fighting,Capcom,22.22
57852,286,Carnival Games,Wii,2007,Misc,Take-Two Interactive,43.78
84021,287,Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,74.57
75509,288,World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,20.18
21863,289,Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,77.06
10993,290,God of War II,PS2,2007,Action,Sony Computer Entertainment,98.68
59468,291,Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,40.49
89511,292,World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment,69.78
41496,293,Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,28.51
32446,294,Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,73.17
2776,295,Far Cry 4,PS4,2014,Shooter,Ubisoft,63.01
87720,296,Star Fox 64,N64,1997,Shooter,Nintendo,86.88
65572,297,Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,96.47
28868,298,Golf,NES,1984,Sports,Nintendo,31.33
84269,299,Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,77.65
87213,300,Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,69.22
54295,301,Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,26.99
81454,302,Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games,92.94
81431,303,EA Sports Active,Wii,2009,Sports,Electronic Arts,56.97
79351,304,Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,92.72
74589,305,Donkey Kong Land,GB,1994,Platform,Nintendo,92.78
25626,306,Tony Hawk's Underground,PS2,2003,Sports,Activision,26.14
16590,307,Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,22.17
13728,308,Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,51.26
22971,309,MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,82.5
31093,310,The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,22.37
87128,311,Tekken 5,PS2,2005,Fighting,Namco Bandai Games,60.66
77966,312,Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation,22.89
68535,313,Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,40.16
81849,314,NBA 2K16,PS4,2015,Sports,Take-Two Interactive,54.06
62523,315,World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment,67.47
5907,316,Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,67.21
75613,317,Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment,92.78
22722,318,The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,94.21
22393,319,Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo,87.86
61991,320,Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,81.96
54557,321,Nintendogs + cats,3DS,2011,Simulation,Nintendo,42.97
83830,322,Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,71.67
49732,323,Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,41.73
2876,324,LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,61.05
51151,325,Resident Evil Director's Cut,PS,1996,Action,Virgin Interactive,90.18
43329,326,Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment,57.94
18292,327,Just Dance 2014,Wii,2013,Misc,Ubisoft,28.71
8134,328,The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,48.65
53877,329,Super Paper Mario,Wii,2007,Platform,Nintendo,67.78
35350,330,Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,40.54
85913,331,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,25.35
58808,332,Resident Evil 3: Nemesis,PS,1999,Action,Eidos Interactive,34.85
7505,333,Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,43.08
86386,334,FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,38.69
10098,335,Pokémon Trading Card Game,GB,1998,Strategy,Nintendo,82.47
49330,336,Battlefield 4,PS3,2013,Shooter,Electronic Arts,42.57
87061,337,MySims,DS,2007,Simulation,Electronic Arts,32.4
26862,338,Friend Collection,DS,2009,Misc,Nintendo,72.22
6766,339,Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,76.49
78050,340,Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,97.82
54259,341,Banjo-Kazooie,N64,1998,Platform,Nintendo,77.55
2677,342,SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,38.51
79877,343,Guitar Hero: World Tour,Wii,2008,Misc,Activision,95.05
22780,344,Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,24.96
88498,345,Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,20.22
51366,346,Pokemon Snap,N64,1999,Simulation,Nintendo,76.4
4039,347,FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,47.11
79308,348,Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,66.46
81753,349,Call of Duty: Ghosts,PS4,2013,Shooter,Activision,93.93
78814,350,Resident Evil 4,PS2,2005,Action,Capcom,83.88
